microbe,metabolite,edge_type
"Bacteroides plebeius M12, DSM 17135","(S)-propane-1,2-diol",consumption
"Bacteroides plebeius M12, DSM 17135",acetate,consumption
"Bacteroides plebeius M12, DSM 17135",Adenosine,consumption
"Bacteroides plebeius M12, DSM 17135",Adenosylcobalamin,consumption
"Bacteroides plebeius M12, DSM 17135",L-arabinose,consumption
"Bacteroides plebeius M12, DSM 17135",L-argininium(1+),consumption
"Bacteroides plebeius M12, DSM 17135",L-asparagine,consumption
"Bacteroides plebeius M12, DSM 17135",Biotin,consumption
"Bacteroides plebeius M12, DSM 17135",cellobiose,consumption
"Bacteroides plebeius M12, DSM 17135",Cytidine,consumption
"Bacteroides plebeius M12, DSM 17135",laurate,consumption
"Bacteroides plebeius M12, DSM 17135",Formate,consumption
"Bacteroides plebeius M12, DSM 17135",galactitol,consumption
"Bacteroides plebeius M12, DSM 17135",D-Galacturonate,consumption
"Bacteroides plebeius M12, DSM 17135",D-glucose,consumption
"Bacteroides plebeius M12, DSM 17135",D-glucuronate,consumption
"Bacteroides plebeius M12, DSM 17135",Guanosine,consumption
"Bacteroides plebeius M12, DSM 17135",Hydrogen,consumption
"Bacteroides plebeius M12, DSM 17135",Hexadecanoate (n-C16:0),consumption
"Bacteroides plebeius M12, DSM 17135",Inosine,consumption
"Bacteroides plebeius M12, DSM 17135","Isobutyrate, 2-Methylpropanoate",consumption
"Bacteroides plebeius M12, DSM 17135","Isovalerate, 3-Methylbutanoate",consumption
"Bacteroides plebeius M12, DSM 17135",Lactose,consumption
"Bacteroides plebeius M12, DSM 17135",L-leucine,consumption
"Bacteroides plebeius M12, DSM 17135",L-lysinium(1+),consumption
"Bacteroides plebeius M12, DSM 17135",Maltose,consumption
"Bacteroides plebeius M12, DSM 17135",D-Mannose,consumption
"Bacteroides plebeius M12, DSM 17135",L-methionine,consumption
"Bacteroides plebeius M12, DSM 17135",Nicotinate,consumption
"Bacteroides plebeius M12, DSM 17135",Ammonium,consumption
"Bacteroides plebeius M12, DSM 17135",Nitrite,consumption
"Bacteroides plebeius M12, DSM 17135",octadecanoate (n-C18:0),consumption
"Bacteroides plebeius M12, DSM 17135",Ornithine,consumption
"Bacteroides plebeius M12, DSM 17135",propionate,consumption
"Bacteroides plebeius M12, DSM 17135",Putrescine,consumption
"Bacteroides plebeius M12, DSM 17135",Pyridoxal,consumption
"Bacteroides plebeius M12, DSM 17135",Raffinose,consumption
"Bacteroides plebeius M12, DSM 17135",L-Rhamnose,consumption
"Bacteroides plebeius M12, DSM 17135",Serine,consumption
"Bacteroides plebeius M12, DSM 17135",sulfate,consumption
"Bacteroides plebeius M12, DSM 17135",Spermidine,consumption
"Bacteroides plebeius M12, DSM 17135",Stachyose,consumption
"Bacteroides plebeius M12, DSM 17135",Succinate,consumption
"Bacteroides plebeius M12, DSM 17135",Sucrose,consumption
"Bacteroides plebeius M12, DSM 17135",L-threonine,consumption
"Bacteroides plebeius M12, DSM 17135",Thymidine,consumption
"Bacteroides plebeius M12, DSM 17135",tetradecanoate (n-C14:0),consumption
"Bacteroides plebeius M12, DSM 17135",Urea,consumption
"Bacteroides plebeius M12, DSM 17135",Uridine,consumption
"Bacteroides plebeius M12, DSM 17135",L-valine,consumption
"Bacteroides plebeius M12, DSM 17135",Xanthine,consumption
Faecalibacterium prausnitzii SL3/3,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",consumption
Faecalibacterium prausnitzii SL3/3,acetaldehyde,consumption
Faecalibacterium prausnitzii SL3/3,N-acetyl-D-glucosamine,consumption
Faecalibacterium prausnitzii SL3/3,acetate,consumption
Faecalibacterium prausnitzii SL3/3,Adenosylcobalamin,consumption
Faecalibacterium prausnitzii SL3/3,L-alanine,consumption
Faecalibacterium prausnitzii SL3/3,D-glucose,consumption
Faecalibacterium prausnitzii SL3/3,L-arabinose,consumption
Faecalibacterium prausnitzii SL3/3,L-asparagine,consumption
Faecalibacterium prausnitzii SL3/3,L-aspartate(1-),consumption
Faecalibacterium prausnitzii SL3/3,Biotin,consumption
Faecalibacterium prausnitzii SL3/3,butyrate,consumption
Faecalibacterium prausnitzii SL3/3,cellobiose,consumption
Faecalibacterium prausnitzii SL3/3,Riboflavin,consumption
Faecalibacterium prausnitzii SL3/3,L-cysteine,consumption
Faecalibacterium prausnitzii SL3/3,ethanol,consumption
Faecalibacterium prausnitzii SL3/3,Folate,consumption
Faecalibacterium prausnitzii SL3/3,Formate,consumption
Faecalibacterium prausnitzii SL3/3,D-Fructose,consumption
Faecalibacterium prausnitzii SL3/3,D-Galactose,consumption
Faecalibacterium prausnitzii SL3/3,galactitol,consumption
Faecalibacterium prausnitzii SL3/3,D-Galacturonate,consumption
Faecalibacterium prausnitzii SL3/3,D-Glucosamine,consumption
Faecalibacterium prausnitzii SL3/3,D-glucuronate,consumption
Faecalibacterium prausnitzii SL3/3,L-glutamine,consumption
Faecalibacterium prausnitzii SL3/3,L-glutamate(1-),consumption
Faecalibacterium prausnitzii SL3/3,Glycine,consumption
Faecalibacterium prausnitzii SL3/3,Glycerol,consumption
Faecalibacterium prausnitzii SL3/3,Guanine,consumption
Faecalibacterium prausnitzii SL3/3,L-histidine,consumption
Faecalibacterium prausnitzii SL3/3,L-isoleucine,consumption
Faecalibacterium prausnitzii SL3/3,L-leucine,consumption
Faecalibacterium prausnitzii SL3/3,L-lysinium(1+),consumption
Faecalibacterium prausnitzii SL3/3,Maltose,consumption
Faecalibacterium prausnitzii SL3/3,D-Mannose,consumption
Faecalibacterium prausnitzii SL3/3,Melibiose,consumption
Faecalibacterium prausnitzii SL3/3,methanol,consumption
Faecalibacterium prausnitzii SL3/3,L-methionine,consumption
Faecalibacterium prausnitzii SL3/3,D-Mannitol,consumption
Faecalibacterium prausnitzii SL3/3,Nicotinate,consumption
Faecalibacterium prausnitzii SL3/3,Ammonium,consumption
Faecalibacterium prausnitzii SL3/3,Phenylalanine,consumption
Faecalibacterium prausnitzii SL3/3,propionate,consumption
Faecalibacterium prausnitzii SL3/3,L-proline,consumption
Faecalibacterium prausnitzii SL3/3,Putrescine,consumption
Faecalibacterium prausnitzii SL3/3,Pyridoxal,consumption
Faecalibacterium prausnitzii SL3/3,Serine,consumption
Faecalibacterium prausnitzii SL3/3,sulfate,consumption
Faecalibacterium prausnitzii SL3/3,Spermidine,consumption
Faecalibacterium prausnitzii SL3/3,Succinate,consumption
Faecalibacterium prausnitzii SL3/3,Sucrose,consumption
Faecalibacterium prausnitzii SL3/3,Taurine,consumption
Faecalibacterium prausnitzii SL3/3,Thiamin,consumption
Faecalibacterium prausnitzii SL3/3,L-threonine,consumption
Faecalibacterium prausnitzii SL3/3,Trehalose,consumption
