OTU	Taxonomy	Name	Chia_name	Chia_id	Match	Mean	Max	BK301	BK303	BK304	BK305	BK306	BK307	BK308	BK309	BK310	BK311	BK312	BK313	BK314	BK315	BK316	BK317	BK319	BR301	BR302	BR303	BR304	BR305	BR306	BR307	BR308	BR309	BR310	BR311	BR313	BR314	BR315	BR316	BR317	BR318	BR319	BR320	BR321	BR322	BR323	BR324	BR325	BR326	BR327	BR328	BR329
Out589	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Abiotrophia; s__Abiotrophia_defectiva	Abiotrophia defectiva	NA	0	F	0.044444444	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Out119	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Acidaminococcaceae; g__Acidaminococcus; s__Acidaminococcus_intestini	Acidaminococcus intestini	Acidaminococcus fermentans	9	F	1.244444444	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	27	0	0	0	0	0	22	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Out188	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces_turicensis	Actinomyces turicensis	NA	0	F	0.244444444	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Out141	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__Akkermansia_muciniphila	Akkermansia muciniphila	Akkermansia muciniphila	46	T	0.866666667	23	0	0	0	0	4	0	0	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	1	0	0	0
Out195	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_finegoldii	Alistipes finegoldii	Bacteroides finegoldii (Alistipes finegoldii)	125	T	1.222222222	22	0	0	0	0	0	5	0	0	0	1	0	3	1	0	2	0	0	0	0	0	0	1	7	1	1	1	0	0	0	1	0	2	0	3	0	0	0	0	3	22	0	0	0	1	0
Out223	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_indistinctus	Alistipes indistinctus	NA	0	F	0.444444444	9	0	1	0	0	0	0	0	9	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0
Out373	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_indistinctus	Alistipes indistinctus	NA	0	F	0.155555556	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
Out380	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_indistinctus	Alistipes indistinctus	NA	0	F	0.288888889	4	0	0	0	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0
Out531	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_indistinctus	Alistipes indistinctus	NA	0	F	0.133333333	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Out184	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_onderdonkii	Alistipes onderdonkii	NA	0	F	0.777777778	9	1	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	9	3	0	0	0	0	0	4	1	0	0	0
Out29	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_putredinis	Alistipes putredinis	Alistipes putredinis	54	T	15.24444444	98	6	4	14	0	18	61	24	86	3	30	0	52	57	13	52	0	12	6	0	0	0	1	14	0	0	5	0	1	0	0	11	26	0	98	2	0	0	5	0	9	0	0	58	12	6
Out599	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_shahii	Alistipes shahii	Alistipes shahii	55	T	0.088888889	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
Out74	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_shahii	Alistipes shahii	Alistipes shahii	55	T	4.511111111	28	6	4	9	0	0	0	0	22	1	3	0	0	17	5	2	0	1	5	0	0	8	0	0	0	0	0	14	0	0	0	9	5	2	15	1	1	1	0	2	0	21	8	28	10	3
Out282	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes_caccae	Anaerostipes caccae	Anaerostipes caccae	75	T	0.133333333	4	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Out676	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus; s__Anaerotruncus_colihominis	Anaerotruncus colihominis	Anaerotruncus colihominis	76	T	0.044444444	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
