Microbe_name	Chia_name	Chia_id	Match	CSM5MCVN	CSM5MCWE	CSM5MCX3	CSM5MCXL	CSM5MCY8	CSM5MCZ3	CSM5MCZF	CSM67UA2	CSM67UAA	CSM67UAQ	CSM67UB1	CSM67UBB	CSM67UBH	CSM67UBN	CSM67UBZ	CSM67UCK	CSM67UDN	CSM67UEA	CSM67UEI	CSM67UEW	CSM67UF5	CSM67UFZ	CSM67UGO	CSM67UH7	CSM79HGP	CSM79HGZ	CSM79HH8	CSM79HHO	CSM79HI7	CSM79HIB	CSM79HIJ	CSM79HIT	CSM79HJM	CSM79HJS	CSM79HKB	CSM79HKZ	CSM79HLA	CSM79HLM	CSM79HMN	CSM79HN6	CSM79HOJ	CSM79HP4	CSM79HPA	CSM79HPS	CSM79HR6	CSM79HRG	CSM7KOJO	CSM7KOKB	CSM7KOKN	CSM7KOKZ	CSM7KOLA	CSM7KOLE	CSM7KOLK	CSM7KOLY	CSM7KOMB	CSM7KOMT	CSM7KON2	CSM7KON8	CSM7KONA	CSM7KONK	CSM7KOO9	CSM7KOOF	CSM7KOOH	CSM7KOOV	CSM7KOP8	CSM7KOPE	CSM7KOPI	CSM7KOPS	CSM7KOQ1	CSM7KORK	CSM7KORU	CSM7KOSP	CSM7KOSV	CSM7KOTK	CSM7KOTU	CSM7KOU9	CSM7KOUL	CSM9X1Y5	CSM9X1YV	CSM9X1ZC	CSM9X211	CSM9X213	CSM9X21J	CSM9X22G	CSM9X22U	CSM9X237	CSM9X23B	CSMA9J65	CSMAG78W	CSMAIG7X	ESM5MEBE	ESM5MEBG	ESM5MEBU	ESM5MEC5	ESM5MECL	ESM5MEDD	ESM5MEDN	ESM718SY	ESM718TF	ESM718TM	ESM718UH	ESM718V8	ESM7F5AK	ESM9IEP1	HSM5MD3Y	HSM5MD41	HSM5MD43	HSM5MD4O	HSM5MD5D	HSM5MD5P	HSM5MD62	HSM5MD6A	HSM5MD6K	HSM5MD73	HSM5MD79	HSM5MD7J	HSM67VCZ	HSM67VD6	HSM67VEE	HSM67VES	HSM67VF3	HSM67VFR	HSM67VFZ	HSM67VGA	HSM67VGG	HSM67VH1	HSM67VHF	HSM67VI5	HSM6XRQ8	HSM6XRQB	HSM6XRQM	HSM6XRQW	HSM6XRRD	HSM6XRRJ	HSM6XRRV	HSM6XRS8	HSM6XRSG	HSM6XRSN	HSM6XRTM	HSM6XRTQ	HSM6XRV2	HSM6XRVC	HSM6XRVK	HSM6XRVO	HSM6XRVW	HSM7CYXA	HSM7CYY3	HSM7CYYB	HSM7CYYF	HSM7CYZ7	HSM7CYZJ	HSM7CYZT	HSM7CZ14	HSM7CZ32	HSM7CZ38	HSM7CZ3G	HSM7J4G1	HSM7J4GR	HSM7J4HC	HSM7J4HO	HSM7J4HS	HSM7J4I3	HSM7J4I7	HSM7J4IC	HSM7J4IS	HSM7J4IU	HSM7J4J7	HSM7J4JF	HSM7J4JZ	HSM7J4K8	HSM7J4KC	HSM7J4KK	HSM7J4KQ	HSM7J4L9	HSM7J4LD	HSM7J4LN	HSM7J4LP	HSM7J4M4	HSM7J4ME	HSM7J4MK	HSM7J4MS	HSM7J4MY	HSM7J4N4	HSM7J4NA	HSM7J4NE	HSM7J4NU	HSM7J4O1	HSM7J4O3	HSM7J4OE	HSM7J4OT	HSM7J4OZ	HSM7J4PE	HSM7J4PW	HSM7J4QB	HSM7J4QJ	HSM7J4QT	HSM7J4R2	HSMA33J5	HSMA33J9	HSMA33JB	HSMA33JP	HSMA33KM	HSMA33L1	HSMA33M8	HSMA33MI	HSMA33MZ	HSMA33NQ	HSMA33NW	HSMA33NY	HSMA33O1	HSMA33OJ	HSMA33OR	HSMA33OZ	HSMA33PZ	HSMA33Q6	HSMA33QO	HSMA33R7	HSMA33R9	HSMA33RX	HSMA33SG	HSMA33SK	MSM5LLDA	MSM5LLDI	MSM5LLDS	MSM5LLF4	MSM6J2HF	MSM6J2HT	MSM6J2IG	MSM6J2IQ	MSM6J2J1	MSM6J2J5	MSM6J2JR	MSM6J2K6	MSM6J2KE	MSM6J2LB	MSM6J2LL	MSM6J2LT	MSM6J2M3	MSM6J2MB	MSM6J2MH	MSM6J2OH	MSM6J2OP	MSM6J2PM	MSM6J2PO	MSM6J2PU	MSM6J2Q1	MSM6J2Q3	MSM6J2QP	MSM6J2R2	MSM6J2R8	MSM6J2RO	MSM6J2SE	MSM79H5G	MSM79H5Q	MSM79H63	MSM79H6F	MSM79H6Y	MSM79H7G	MSM79H7M	MSM79H7Q	MSM79H7Y	MSM79H85	MSM79H8D	MSM79H9G	MSM79H9Q	MSM79HA3	MSM79HAH	MSM79HAJ	MSM79HAN	MSM79HB6	MSM79HC8	MSM79HCR	MSM79HDA	MSM79HDE	MSM79HDQ	MSM79HEY	MSM9VZEK	MSM9VZES	MSM9VZEW	MSM9VZF7	MSM9VZFR	MSM9VZGO	MSM9VZHB	MSM9VZHF	MSM9VZHR	MSM9VZHX	MSM9VZI6	MSM9VZIM	MSM9VZIQ	MSM9VZJ3	MSM9VZJZ	MSM9VZKE	MSM9VZL9	MSM9VZLJ	MSM9VZLP	MSM9VZLV	MSM9VZME	MSM9VZMM	MSM9VZMU	MSM9VZNL	MSM9VZNX	MSM9VZOI	MSM9VZOO	MSM9VZOU	MSM9VZP3	MSM9VZPL	MSMA267V	MSMA26AL	MSMA26AZ	MSMA26BB	MSMA26BR	MSMA26CX	MSMA26DG	MSMA26DO	MSMA26EJ	MSMA26ET	MSMAPC5D	MSMAPC6G	MSMAPC6K	MSMAPC7J	MSMAPC7T	MSMB4LXW	MSMB4LXY	MSMB4LYB	MSMB4LYH	MSMB4LZ4	MSMB4LZ8	MSMB4LZC	MSMB4LZK	MSMB4LZR	MSMB4LZX	PSM6XBQY	PSM6XBRK	PSM6XBSE	PSM6XBSI	PSM6XBSK	PSM6XBSS	PSM6XBT3	PSM6XBUG	PSM6XBUO	PSM6XBVM	PSM7J12F	PSM7J12J	PSM7J12R	PSM7J12V	PSM7J136	PSM7J13E	PSM7J141	PSM7J14L	PSM7J14T	PSM7J14X	PSM7J156	PSM7J158	PSM7J15M	PSM7J15U	PSM7J161	PSM7J16Y	PSM7J177	PSM7J17F	PSM7J17L	PSM7J17X	PSM7J193	PSM7J19B	PSM7J19J	PSM7J1A2	PSM7J1AU	PSM7J1BF	PSM7J1CC	PSM7J1CU	PSMA263W	PSMA264Q	PSMA265H	PSMA265N	PSMA265T	PSMA265X	PSMA266I	PSMA266Q	PSMA2675	PSMA267J	PSMA267P	PSMA269W	PSMA26A3	PSMB4MBK	PSMB4MC5
Abiotrophia_defectiva	NA	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.97e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_fermentans	Acidaminococcus fermentans	9	T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003159	0.0005058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_intestini	Acidaminococcus fermentans	9	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110354	0	0	0	0	0	0	0	0	0.0002981	0	0	0	0	0	0	0.0482667	0	0	0	0	0	0	0.0021849	0	0.0006145	0	0	0	0	0	0	0.0226307	0.0294876	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346896	0.0160513	0	0	0	0.0102743	0	0	0	0	0	0	0.0020989	0.0078111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.97e-05	0.0307681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026649	0	0	0	0	0	0.0085656	0	0	0	0	0	0	0	0	0	0	0	0	0.0035944	0.0034877	0.0006089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.68e-05	0.0048803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3e-05	0	0	0	0	0	0	0	0.0178635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0072897	0	0	0	0.0001451	0	0	0	0	0	0	0	2.86e-05	0.0001785	0	0	5.6e-06	0
Acidaminococcus_sp_BV3L6	Acidaminococcus fermentans	9	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_sp_HPA0509	Acidaminococcus fermentans	9	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_unclassified	Acidaminococcus fermentans	9	F	0.122568	0	0	0	0	0	0	0	0.0001844	0	0	0	0.1479	0.133748	0.015781	0	0	0	0	0	0	0	0	0	0	0	0.234361	0	0	0	0	0	0	1.93e-05	0	0.0003908	0	0.0401327	0	0	0	0	0.277277	0	0	0.0961554	0	0	0.0029023	0.0023636	0	0.0039154	0	0	0.0001552	0	0	0	0.158402	0.0426991	0	0	0	0	0	0	0	0	0	0.0002727	0	1.47e-05	0	0.219965	0.0305573	0	0	0	0.0325377	0	0	0	0	0	0	0.0044758	0.0254481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111395	0	0	0	0	0	0.0152744	0	2.5e-05	0	0	0	0	0	0	0.0469833	0	0	0	0	1.84e-05	4.66e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042785	0	0	0	0	0	0.0138828	0	0	0	0	0	0	0	0	0	0	0	0	0.0056681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.65e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0327984	0.0009939	0	0	0	0	0	0	0.043272	0	0	0	0	0	0	0	0	0	0	0	0.018502	0	0	0	0	0	0	0.023718	0	0	0.1243	0.0620714	0	0	0.0303502	0	0	0	0	0	0.0270929	0.0054243	0	0	0	0	0	0	0	0	0	0
Acinetobacter_lwoffii	Acinetobacter radioresistens	25	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_unclassified	Acinetobacter radioresistens	25	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_ursingii	Acinetobacter radioresistens	25	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_unclassified	Actinobacillus succinogenes	28	F	0	0	0	0	0	0	0	0	8.6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002185	0	0	0	5.99e-05	0	0	0	0	0	0	0	0	0	0.0006823	0	0	0	0	0	0	0	0	7.84e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001803	0	0.0008285	0.0006683	0	0	0	0	0	0	0	0	0	0	0	0	0.0001366	0	0.0006306	0	0	0	7e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.21e-05	0	0	0	0	0	0.0001284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.56e-05	5.61e-05	0	0	0	0	0	0	0	0	0	0	5.92e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001724	0	0	0	0	0	0	0.0002343	0	0	4.6e-05	0	0	4.82e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
