,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2213,Spermine,878,Prevotella salivae,2,-0.0010000000000000009,0,13880
1,2203,Putrescine,54,Alistipes putredinis,2,0.009136952316172398,2,13106
2,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",133,Bacteroides stercoris,3,0.0065323813804832875,13,24351
3,2238,Urea,964,Ruminococcus bromii,3,0.018841461607373322,42,31453
4,2190,"Pantothenic acid (Vitamin B5, Pantothenate)",126,Bacteroides fragilis,3,0.005265093489493222,48,28236
5,2178,"NH3 (Ammonia, NH4+, Ammonium)",425,Eggerthella lenta,2,-0.00014059400841914815,59,11485
6,2108,H2O2,966,Ruminococcus gnavus,2,0.0018803116770184092,64,6975
7,2122,Isovalerate (3-Methylbutanoic acid),122,Bacteroides coprophilus,3,0.004170588111775286,71,23624
8,2007,2-methylbutyrate (2-methylbutanoic acid),401,Desulfovibrio piger,3,0.0006445007585634821,87,16379
9,2233,Trimethylamine,608,Lactococcus lactis,2,0.0010333760847847095,91,15169
10,2074,D-Ribose (Ribose),54,Alistipes putredinis,2,8.703551913302743e-05,94,4682
11,2221,Taurine,121,Bacteroides coprocola,3,2.1057235497612403e-05,109,30247
12,2175,"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid)",953,Roseburia inulinivorans,3,0.00873175788588998,111,27276
13,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",131,Bacteroides plebeius,3,0.002749878501154268,118,24350
14,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",966,Ruminococcus gnavus,3,0.004790209040573701,130,24399
15,2122,Isovalerate (3-Methylbutanoic acid),135,Bacteroides uniformis,3,0.03855185158225338,136,23633
16,2048,Cholecalciferol (Vitamin D3),953,Roseburia inulinivorans,3,-0.0005162034444802233,147,18996
17,2122,Isovalerate (3-Methylbutanoic acid),425,Eggerthella lenta,2,0.0029553523112665347,152,7741
18,2122,Isovalerate (3-Methylbutanoic acid),124,Bacteroides eggerthii,3,0.0010975598809690457,160,23626
19,2240,"Valerate (Pentanoic acid, Pentanoate)",461,Eubacterium ventriosum,3,0.002289480978915126,166,31579
20,2122,Isovalerate (3-Methylbutanoic acid),484,Fusobacterium varium,2,0.001985310670057472,188,7749
21,2011,4-Aminobutyrate (GABA),134,Bacteroides thetaiotaomicron,3,0.008777334613534027,202,16648
22,2175,"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid)",878,Prevotella salivae,2,0.0003697257420117728,216,11360
23,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",131,Bacteroides plebeius,2,0.0015051147968285772,220,8438
24,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",323,Clostridium scindens,3,-0.0010035646867881942,239,24942
25,2240,"Valerate (Pentanoic acid, Pentanoate)",969,Ruminococcus torques,2,0.0007530076788875295,249,15689
26,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",878,Prevotella salivae,3,0.0006844810139405855,255,24392
27,2122,Isovalerate (3-Methylbutanoic acid),965,Ruminococcus flavefaciens,3,0.00022795547962872753,257,23678
28,2122,Isovalerate (3-Methylbutanoic acid),137,Bacteroides xylanisolvens,2,-9.772543034824999e-05,259,7722
29,2226,"Thiamine (Vitamin B1, Thiamin)",878,Prevotella salivae,3,0.004050851610671757,260,30656
30,2056,"Crotonate (2-Butenoate, 2-Butenoic acid, Crotonic acid, 3-Methylacrylic acid)",420,Dorea formicigenerans,3,-3.469344308770772e-05,274,19404
31,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",461,Eubacterium ventriosum,2,0.00672198754108233,288,9043
32,2207,Retinoate,878,Prevotella salivae,2,-0.0010000000000000009,318,13448
33,2122,Isovalerate (3-Methylbutanoic acid),457,Eubacterium rectale,3,0.0022092277125125293,362,23657
34,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",119,Bacteroides caccae,3,0.000855883138846214,364,24342
35,2062,D-Fructuronate,161,Blautia hansenii (Ruminococcus hansenii),3,0.0016148769702568622,367,19754
36,2134,"L-Glutamine (D-Glutamine, Glutamine)",55,Alistipes shahii,3,2.7802556624267893e-05,368,24411
37,2222,Taurochenodeoxycholate,137,Bacteroides xylanisolvens,3,1.625765178003835e-05,378,30330
38,2233,Trimethylamine,401,Desulfovibrio piger,2,-0.00044528580232516823,379,15155
39,2217,Succinate,1099,Sutterella wadsworthensis,2,0.0007714752202644393,386,14111
40,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",338,Coprococcus comes,2,0.0046406946840743535,394,9033
