,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2122,Isovalerate (3-Methylbutanoic acid),425,Eggerthella lenta,2,0.005039212487850997,2,7741
1,2240,"Valerate (Pentanoic acid, Pentanoate)",54,Alistipes putredinis,2,0.009897139367531116,4,15626
2,2242,XOS (Xylooligosaccharide),966,Ruminococcus gnavus,2,0.003302354974383137,9,15831
3,2125,"L-Alanine (D-Alanine, Alanine)",121,Bacteroides coprocola,3,0.0008541984521146517,11,23767
4,2100,Glycocholate,1007,Shigella sonnei,3,0.008029683419699785,26,22314
5,2122,Isovalerate (3-Methylbutanoic acid),124,Bacteroides eggerthii,2,-0.00027221480859906944,34,7714
6,2122,Isovalerate (3-Methylbutanoic acid),46,Akkermansia muciniphila,2,-0.00045174183562168846,35,7705
7,2122,Isovalerate (3-Methylbutanoic acid),460,Eubacterium siraeum,3,0.0005613899613988727,48,23658
8,2206,Raffinose,878,Prevotella salivae,2,0.0012794431448341914,57,13376
9,2122,Isovalerate (3-Methylbutanoic acid),119,Bacteroides caccae,3,0.017080800010384034,67,23622
10,2122,Isovalerate (3-Methylbutanoic acid),121,Bacteroides coprocola,3,0.0006044933115122442,68,23623
11,2238,Urea,461,Eubacterium ventriosum,3,0.007445383626729529,70,31435
12,2198,Pimelate,796,Odoribacter splanchnicus,3,0.01608837111727457,79,28778
13,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",401,Desulfovibrio piger,3,0.00464853181123881,85,24371
14,2122,Isovalerate (3-Methylbutanoic acid),464,Faecalibacterium prausnitzii,3,0.0350493497859069,89,23660
15,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",484,Fusobacterium varium,2,0.00014963597427541941,111,9045
16,2155,L-Tyrosine (Tyrosine),964,Ruminococcus bromii,3,0.009077692645481195,118,25981
17,2122,Isovalerate (3-Methylbutanoic acid),608,Lactococcus lactis,2,0.002589175428747148,121,7753
18,2122,Isovalerate (3-Methylbutanoic acid),454,Eubacterium eligens,2,0.00014731439583859363,144,7742
19,2122,Isovalerate (3-Methylbutanoic acid),796,Odoribacter splanchnicus,2,0.00044957128862965767,151,7754
20,2122,Isovalerate (3-Methylbutanoic acid),1099,Sutterella wadsworthensis,2,0.0003762787103500642,153,7775
21,2237,Uracil,339,Coprococcus eutactus,3,0.004181928055007056,175,31354
22,2238,Urea,420,Dorea formicigenerans,3,0.001365315380811083,208,31428
23,2240,"Valerate (Pentanoic acid, Pentanoate)",161,Blautia hansenii (Ruminococcus hansenii),3,0.017099711892573977,210,31562
24,2019,"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])",161,Blautia hansenii (Ruminococcus hansenii),3,0.002565675628367514,212,17234
25,2203,Putrescine,420,Dorea formicigenerans,2,0.0069483312386404705,214,13140
26,2154,L-Tryptophan (Tryptophan),119,Bacteroides caccae,3,0.005329909346962536,218,25854
27,2122,Isovalerate (3-Methylbutanoic acid),455,Eubacterium hallii,2,0.001674739064917663,227,7743
28,2037,Butylamine,131,Bacteroides plebeius,2,-4.665026379246928e-05,228,2462
29,2238,Urea,135,Bacteroides uniformis,3,0.003196514014652929,231,31409
30,2122,Isovalerate (3-Methylbutanoic acid),966,Ruminococcus gnavus,2,7.48553282153841e-05,247,7767
31,2122,Isovalerate (3-Methylbutanoic acid),953,Roseburia inulinivorans,2,0.0007136313791041848,252,7764
32,2022,alpha-ketoglutarate (2-oxoglutarate),796,Odoribacter splanchnicus,3,-0.0010403645618577428,253,17402
33,2126,"L-Arabitol (L-Arabinitol, D-Arabitol)",401,Desulfovibrio piger,3,-0.00021526513712011308,272,23867
34,2233,Trimethylamine,968,Ruminococcus obeum,2,0.002134429787181258,282,15184
35,2011,4-Aminobutyrate (GABA),457,Eubacterium rectale,3,0.0023855110937323065,293,16673
