,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2011,4-Aminobutyrate (GABA),54,Alistipes putredinis,2,0.0027545380997103797,8,722
1,2212,Spermidine,55,Alistipes shahii,2,-1.913201736036818e-06,14,13755
2,2226,"Thiamine (Vitamin B1, Thiamin)",119,Bacteroides caccae,3,0.005553694888002281,19,30606
3,2229,Thymine,454,Eubacterium eligens,3,0.015089836004913315,29,30854
4,2060,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",966,Ruminococcus gnavus,2,0.0015491066656639907,72,3735
5,2122,Isovalerate (3-Methylbutanoic acid),456,Eubacterium limosum,3,0.004727361237625849,107,23656
6,2082,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",1007,Shigella sonnei,3,0.00601265695220754,123,21234
7,2237,Uracil,969,Ruminococcus torques,3,0.007125902923412419,129,31385
8,2122,Isovalerate (3-Methylbutanoic acid),455,Eubacterium hallii,3,0.0516969361052535,164,23655
9,2122,Isovalerate (3-Methylbutanoic acid),309,Clostridium difficile,2,0.0006287768107606784,194,7732
10,2122,Isovalerate (3-Methylbutanoic acid),137,Bacteroides xylanisolvens,3,0.0013557407482757133,204,23634
11,2198,Pimelate,134,Bacteroides thetaiotaomicron,3,0.009747193310538083,212,28744
12,2122,Isovalerate (3-Methylbutanoic acid),124,Bacteroides eggerthii,3,0.0005119623675396978,222,23626
13,2122,Isovalerate (3-Methylbutanoic acid),1064,Streptococcus salivarius,3,-0.00020020435452838825,233,23685
14,2122,Isovalerate (3-Methylbutanoic acid),454,Eubacterium eligens,2,0.004049152333329142,237,7742
15,2172,N-Acetyl-D-Glucosamine (N-Acetylglucosamine),878,Prevotella salivae,2,-2.516826824383589e-05,240,11144
16,2217,Succinate,1099,Sutterella wadsworthensis,2,0.004042074262621487,244,14111
17,2156,"L-Valine (Valine, D-Valine)",338,Coprococcus comes,3,0.0009203321872861547,251,26025
18,2217,Succinate,878,Prevotella salivae,2,0.0017074328809371098,261,14096
