microbe	metabolite	edge_type	microbe_Chia_name	microbe_ID	metabolite_Chia_name	metabolite_ID
Bacteroides plebeius M12, DSM 17135	(S)-propane-1,2-diol	5	Bacteroides plebeius	131	1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	2004
Bacteroides plebeius M12, DSM 17135	acetate	5	Bacteroides plebeius	131	Acetate	2014
Bacteroides plebeius M12, DSM 17135	Adenosine	5	Bacteroides plebeius	131	Adenosine	2018
Bacteroides plebeius M12, DSM 17135	Adenosylcobalamin	5	Bacteroides plebeius	131	Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	2019
Bacteroides plebeius M12, DSM 17135	L-arabinose	5	Bacteroides plebeius	131	D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	2060
Bacteroides plebeius M12, DSM 17135	L-argininium(1+)	5	Bacteroides plebeius	131	L-Arginine (Arginine)	2127
Bacteroides plebeius M12, DSM 17135	L-asparagine	5	Bacteroides plebeius	131	L-Asparagine (Asparagine)	2128
Bacteroides plebeius M12, DSM 17135	Biotin	5	Bacteroides plebeius	131	Biotin (Vitamin B7)	2035
Bacteroides plebeius M12, DSM 17135	cellobiose	5	Bacteroides plebeius	131	Cellobiose	2043
Bacteroides plebeius M12, DSM 17135	Cytidine	5	Bacteroides plebeius	131	Cytidine	2058
Bacteroides plebeius M12, DSM 17135	laurate	5	Bacteroides plebeius	131	Dodecanoate (Lauric acid, Laureate)	2087
Bacteroides plebeius M12, DSM 17135	Formate	5	Bacteroides plebeius	131	Formate	2093
Bacteroides plebeius M12, DSM 17135	galactitol	2	Bacteroides plebeius	131	Galactitol (Dulcitol)	2097
Bacteroides plebeius M12, DSM 17135	D-Galacturonate	5	Bacteroides plebeius	131	D-Galacturonate	2065
Bacteroides plebeius M12, DSM 17135	D-glucose	5	Bacteroides plebeius	131	D-Glucose (Glucose)	2068
Bacteroides plebeius M12, DSM 17135	D-glucuronate	5	Bacteroides plebeius	131	D-Glucuronic acid (D-Glucuronate)	2069
Bacteroides plebeius M12, DSM 17135	Guanosine	5	Bacteroides plebeius	131	Guanosine	2106
Bacteroides plebeius M12, DSM 17135	Hydrogen	5	Bacteroides plebeius	131	H2 (Hydrogen)	2107
Bacteroides plebeius M12, DSM 17135	Hexadecanoate (n-C16:0)	5	Bacteroides plebeius	131	Palmitate (Palmitic acid, Hexadecanoic acid, Hexadecanoate)	2189
Bacteroides plebeius M12, DSM 17135	Inosine	5	Bacteroides plebeius	131	Inosine	2116
Bacteroides plebeius M12, DSM 17135	Isobutyrate, 2-Methylpropanoate	5	Bacteroides plebeius	131	Isobutyrate (2-Methylpropanoic acid)	2119
Bacteroides plebeius M12, DSM 17135	Isovalerate, 3-Methylbutanoate	5	Bacteroides plebeius	131	Isovalerate (3-Methylbutanoic acid)	2122
Bacteroides plebeius M12, DSM 17135	Lactose	5	Bacteroides plebeius	131	Lactose	2157
Bacteroides plebeius M12, DSM 17135	L-leucine	5	Bacteroides plebeius	131	L-Leucine (Leucine)	2142
Bacteroides plebeius M12, DSM 17135	L-lysinium(1+)	5	Bacteroides plebeius	131	L-Lysine (Lysine, D-Lysine)	2143
Bacteroides plebeius M12, DSM 17135	Maltose	5	Bacteroides plebeius	131	Maltose	2161
Bacteroides plebeius M12, DSM 17135	D-Mannose	5	Bacteroides plebeius	131	D-Mannose (Mannose)	2072
