IDs: Names
3: Acetivibrio cellulolyticus
4: Acetobacter pasteurianus
5: Acetohalobium arabaticum
6: Acholeplasma laidlawii
7: Achromobacter piechaudii
8: Achromobacter xylosoxidans
9: Acidaminococcus fermentans
10: Acidimicrobium ferrooxidans
11: Acidiphilium cryptum
12: Acidithiobacillus caldus
13: Acidithiobacillus ferrooxidans
15: Acidothermus cellulolyticus
16: Acidovorax avenae
17: Acidovorax delafieldii
20: Acinetobacter calcoaceticus
25: Acinetobacter radioresistens
28: Actinobacillus succinogenes
30: Actinomyces coleocanis
31: Actinomyces odontolyticus
32: Actinomyces oris
33: Actinomyces urogenitalis
34: Actinomyces viscosus
35: Actinosynnema mirum
37: Aeromicrobium marinum
38: Aeromonas hydrophila
39: Aeromonas salmonicida
40: Aeropyrum pernix
41: Aggregatibacter actinomycetemcomitans
44: Agrobacterium tumefaciens (Rhizobium radiobacter)
46: Akkermansia muciniphila
49: Alicycliphilus denitrificans
54: Alistipes putredinis
55: Alistipes shahii
59: Allochromatium vinosum
61: Aminobacterium colombiense
64: Anabaena azollae
65: Anabaena variabilis
67: Anaerococcus hydrogenalis
68: Anaerococcus lactolyticus
69: Anaerococcus prevotii
70: Anaerococcus tetradius
71: Anaerococcus vaginalis
75: Anaerostipes caccae
76: Anaerotruncus colihominis
81: Aquifex aeolicus
83: Archaeoglobus fulgidus
84: Archaeoglobus profundus
94: Atopobium parvulum
95: Atopobium rimae
96: Atopobium vaginae
97: Azorhizobium caulinodans
98: Azotobacter vinelandii
99: Bacillus amyloliquefaciens
100: Bacillus anthracis
101: Bacillus atrophaeus
102: Bacillus cellulosilyticus
103: Bacillus cereus
104: Bacillus clausii
105: Bacillus coagulans
106: Bacillus coahuilensis
107: Bacillus halodurans
108: Bacillus licheniformis
109: Bacillus megaterium
110: Bacillus mycoides
111: Bacillus pseudofirmus
112: Bacillus pseudomycoides
113: Bacillus pumilus
114: Bacillus selenitireducens
115: Bacillus subtilis
116: Bacillus thuringiensis
117: Bacillus weihenstephanensis
119: Bacteroides caccae
120: Bacteroides cellulosilyticus
121: Bacteroides coprocola
122: Bacteroides coprophilus
123: Bacteroides dorei
124: Bacteroides eggerthii
125: Bacteroides finegoldii (Alistipes finegoldii)
126: Bacteroides fragilis
127: Bacteroides helcogenes
128: Bacteroides intestinalis
129: Bacteroides ovatus
130: Bacteroides pectinophilus
131: Bacteroides plebeius
132: Bacteroides salanitronis
133: Bacteroides stercoris
134: Bacteroides thetaiotaomicron
135: Bacteroides uniformis
136: Bacteroides vulgatus
137: Bacteroides xylanisolvens
145: Baumannia cicadellinicola
147: Beijerinckia indica
149: Bifidobacterium adolescentis
150: Bifidobacterium angulatum
151: Bifidobacterium animalis
152: Bifidobacterium bifidum
153: Bifidobacterium breve
154: Bifidobacterium catenulatum
155: Bifidobacterium dentium
156: Bifidobacterium gallicum
157: Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
158: Bifidobacterium pseudocatenulatum
159: Bilophila wadsworthia
161: Blautia hansenii (Ruminococcus hansenii)
162: Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
181: Bradyrhizobium japonicum
182: Brevibacillus brevis
186: Brucella abortus
189: Brucella melitensis
194: Brucella suis
195: Buchnera aphidicola
197: Burkholderia ambifaria
198: Burkholderia cenocepacia
199: Burkholderia cepacia
201: Burkholderia glumae
204: Burkholderia multivorans
206: Burkholderia phymatum
212: Burkholderia vietnamiensis
214: Butyrivibrio crossotus
215: Butyrivibrio fibrisolvens
216: Butyrivibrio proteoclasticus
219: Caldicellulosiruptor bescii (Anaerocellum thermophilum)
226: Caldicellulosiruptor saccharolyticus
227: Calditerrivibrio nitroreducens
228: Caldivirga maquilingensis
229: Caminibacter mediatlanticus
234: Campylobacter gracilis
236: Campylobacter jejuni
260: Catenibacterium mitsuokai
265: Cellulomonas flavigena
268: Cellulosilyticum lentocellum
281: Chlorobium chlorochromatii
282: Chlorobium ferrooxidans
283: Chlorobium limicola
284: Chlorobium phaeobacteroides
285: Chlorobium vibrioformis
287: Chloroflexus aurantiacus
289: Chromobacterium violaceum
293: Citrobacter koseri
294: Citrobacter rodentium
295: Citrobacter youngae
298: Clostridium acetobutylicum
299: Clostridium asparagiforme
300: Clostridium bartlettii
301: Clostridium beijerinckii
302: Clostridium bolteae
303: Clostridium botulinum
304: Clostridium butyricum
305: Clostridium carboxidivorans
306: Clostridium cellulolyticum
307: Clostridium cellulovorans
308: Clostridium cf
309: Clostridium difficile
310: Clostridium hathewayi
311: Clostridium hiranonis
312: Clostridium hylemonae
313: Clostridium kluyveri
314: Clostridium leptum
315: Clostridium ljungdahlii
316: Clostridium methylpentosum
317: Clostridium nexile
318: Clostridium novyi
319: Clostridium papyrosolvens
320: Clostridium perfringens
321: Clostridium phytofermentans
322: Clostridium saccharolyticum
323: Clostridium scindens
324: Clostridium sporogenes
325: Clostridium sticklandii
326: Clostridium symbiosum
327: Clostridium tetani
328: Clostridium thermocellum
329: Collinsella aerofaciens (Eubacterium aerofaciens)
330: Collinsella intestinalis
331: Collinsella stercoris
333: Comamonas testosteroni
337: Coprococcus catus
338: Coprococcus comes
339: Coprococcus eutactus
346: Corynebacterium diphtheriae
350: Corynebacterium glutamicum
372: Cytophaga hutchinsonii
381: Deinococcus radiodurans
383: Denitrovibrio acetiphilus
384: Desulfarculus baarsii
385: Desulfatibacillum alkenivorans
387: Desulfobacterium autotrophicum
388: Desulfobulbus propionicus
389: Desulfococcus oleovorans
390: Desulfohalobium retbaense
391: Desulfomicrobium baculatum
392: Desulfonatronospira thiodismutans
393: Desulfotalea psychrophila
394: Desulfotomaculum acetoxidans
395: Desulfotomaculum nigrificans
396: Desulfotomaculum reducens
397: Desulfovibrio aespoeensis
398: Desulfovibrio desulfuricans
399: Desulfovibrio fructosovorans
400: Desulfovibrio magneticus
401: Desulfovibrio piger
402: Desulfovibrio salexigens
403: Desulfovibrio vulgaris
409: Desulfuromonas acetoxidans
411: Dialister invisus
420: Dorea formicigenerans
421: Dorea longicatena
425: Eggerthella lenta
434: Ensifer meliloti (Sinorhizobium meliloti)
