metabolites_ID,microbes_ID,"edge_types (2 represents intake, 3 represents secretion and 5 represents intake and secretion)"
2001,896,2
2001,832,2
2001,831,2
2001,600,3
2001,571,3
2001,570,5
2001,436,3
2001,435,3
2001,350,2
2001,115,3
2002,1221,2
2003,1106,2
2003,1105,2
2003,1104,2
2003,1103,2
2003,1102,2
2003,835,2
2003,832,2
2003,831,2
2003,134,3
2004,977,2
2004,831,2
2004,586,3
2004,304,2
2004,157,3
2004,134,3
2005,835,2
2005,831,5
2005,586,3
2005,585,3
2005,570,3
2005,560,3
2005,295,3
2005,294,3
2005,293,3
2006,325,3
2006,324,3
2006,303,3
2007,964,2
2007,963,2
2007,877,2
2007,469,2
2007,388,2
2007,1221,2
2008,860,2
2008,324,3
2008,76,2
2009,1221,2
2010,963,2
2010,600,2
2010,587,2
2010,304,2
2010,298,2
2010,157,2
2011,898,3
2011,896,3
2011,602,3
2011,585,3
2011,450,3
2011,350,2
2011,1221,2
2011,324,3
2011,309,3
2011,303,3
2011,298,2
2011,157,3
2011,155,3
2011,149,3
2011,115,2
2011,75,2
2011,44,2
2012,325,3
2012,324,3
2012,309,3
2012,303,3
2013,1221,2
2014,1201,2
2014,1197,2
2014,1169,3
2014,1168,3
2014,1167,3
2014,1144,3
2014,1106,3
2014,1105,3
2014,1104,3
2014,1103,3
2014,1102,3
2014,1087,3
2014,1069,3
2014,1068,3
2014,1067,3
2014,1066,3
2014,1065,3
2014,1064,3
2014,1063,3
2014,1062,3
2014,1061,3
2014,1060,3
2014,1059,3
2014,1058,3
2014,1057,3
2014,1056,3
2014,1055,3
2014,1054,3
2014,1053,3
2014,1052,3
2014,1050,3
2014,1049,3
2014,1048,3
2014,1047,3
2014,1046,3
2014,1045,3
2014,1044,3
2014,1043,3
2014,1000,3
2014,987,3
2014,986,3
2014,985,3
2014,984,3
2014,969,3
2014,968,3
2014,966,3
2014,965,3
2014,964,3
2014,963,3
2014,953,2
2014,952,2
2014,916,3
2014,910,3
2014,899,2
2014,895,3
2014,884,3
2014,883,3
2014,881,3
2014,880,3
2014,879,3
2014,878,3
2014,877,3
2014,876,3
2014,875,3
2014,874,3
2014,873,3
2014,872,3
2014,871,3
2014,870,3
2014,869,3
2014,868,3
2014,867,3
2014,866,3
2014,865,3
2014,864,3
2014,840,3
2014,839,3
2014,835,3
2014,832,3
2014,831,3
2014,820,3
2014,814,3
2014,813,3
2014,796,3
2014,750,3
2014,749,3
2014,748,3
2014,747,3
2014,746,3
2014,745,3
2014,744,3
2014,743,3
2014,742,3
2014,741,3
2014,740,3
2014,739,3
2014,738,3
2014,737,3
2014,736,3
2014,735,3
2014,734,3
2014,733,3
2014,732,3
2014,731,3
2014,730,3
2014,714,3
2014,687,2
2014,686,2
2014,685,2
2014,684,2
2014,683,2
2014,682,5
2014,681,2
2014,671,2
2014,663,2
2014,662,2
2014,654,3
2014,653,3
2014,652,3
2014,608,3
2014,607,3
2014,606,3
2014,605,3
2014,604,3
2014,603,3
2014,602,3
2014,601,3
2014,600,3
2014,599,3
2014,598,3
2014,597,3
2014,596,3
2014,595,3
2014,594,3
2014,593,3
2014,592,3
2014,591,3
2014,590,3
2014,589,3
2014,588,3
2014,587,3
2014,586,3
2014,585,3
2014,584,3
2014,583,3
2014,582,3
2014,581,3
2014,570,5
2014,551,3
2014,522,2
2014,520,2
2014,498,2
2014,497,2
2014,496,5
2014,495,2
2014,494,2
2014,481,5
2014,470,3
2014,469,3
2014,464,5
2014,461,2
2014,460,5
2014,459,2
2014,458,2
2014,457,5
2014,456,5
2014,455,2
2014,454,2
2014,453,2
2014,451,3
2014,450,3
2014,449,3
2014,441,3
2014,440,3
2014,439,3
2014,438,3
2014,437,3
2014,421,3
2014,420,3
2014,411,3
2014,409,2
2014,403,5
2014,402,5
2014,401,5
2014,400,5
2014,399,5
2014,398,5
2014,397,5
2014,396,2
2014,395,2
2014,394,2
2014,388,5
2014,339,5
2014,338,3
2014,337,5
2014,333,2
2014,1221,2
2014,328,3
2014,327,3
2014,326,3
2014,325,3
2014,324,3
2014,323,3
2014,322,3
2014,321,3
2014,320,3
2014,319,3
2014,318,3
2014,317,3
2014,316,3
2014,315,3
2014,314,3
2014,313,5
2014,312,3
2014,311,3
2014,310,3
2014,309,3
2014,308,3
2014,307,3
2014,306,3
2014,305,3
2014,304,3
2014,303,3
2014,302,3
2014,301,3
2014,300,3
2014,299,3
2014,298,3
2014,295,3
2014,294,3
2014,293,3
2014,260,3
2014,216,5
2014,215,5
2014,214,5
2014,162,3
2014,159,3
2014,158,3
2014,157,3
2014,156,3
2014,155,3
2014,154,3
2014,153,3
2014,152,3
2014,151,3
2014,150,3
2014,149,3
2014,137,3
2014,136,3
2014,135,3
2014,134,3
2014,133,3
2014,132,3
2014,131,3
2014,130,3
2014,129,3
2014,128,3
2014,127,3
2014,126,3
2014,125,3
2014,124,3
2014,123,3
2014,122,3
2014,121,3
2014,120,3
2014,119,3
2014,115,3
2014,96,3
2014,95,3
2014,94,3
2014,83,3
2014,76,3
2014,75,5
2014,34,3
2014,33,3
2014,32,3
2014,31,3
2014,30,3
2014,9,3
2014,6,3
2014,5,3
2014,4,3
2014,3,3
2015,832,2
2015,831,2
2015,600,3
2016,1221,2
2016,328,3
2016,327,3
2016,326,3
2016,325,3
2016,324,3
2016,323,3
2016,322,3
2016,321,3
2016,320,3
2016,319,3
2016,318,3
2016,317,3
2016,316,3
2016,315,3
2016,314,3
2016,313,3
2016,312,3
2016,311,3
2016,310,3
2016,309,3
2016,308,3
2016,307,3
2016,306,3
2016,305,3
2016,304,3
2016,303,3
2016,302,3
2016,301,3
2016,300,3
2016,299,3
2016,298,3
2016,115,3
2017,1221,2
2018,1221,2
2019,1077,3
2019,1027,2
2019,1007,2
2019,1006,2
2019,977,3
2019,964,2
